Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,Korea,Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,,537777811.1,,,,,,,,,,18577668272,6592693841,,195999990,11658722591,226195579.4,330442817.2,4274893913,,,169803921.6,,,28071888.56,84466654.08,373879363.6,15165569913,,,,30412308.99,112155598.9,40461721693,,9522746719,,4110000000,59716467625,546203561.6,618740988,3359404118,131731862.6,4031152977,,,507513830,1880306123,,,,,,,,,,672399700,2723648552,80250159670,1.52769E+11,1.53258E+11,,,2069465326,,2.44896E+11,,12072126075,,,,16895344343,5224102196,112328422.1,62225478001,,,141468977.6,73233967692,,1217230038,,,,,,4335186017,,,1043599900,,170215248.2,1.06284E+12,1320796652,335650000,17370230008,,273187200,,3.04471E+11,3.40905E+11,37757890729,12078454384,,26714705069,,37029883875,,1939329775,4199134390,1684121535,248434097,2598500000,40385288344,699050679,,44307342950,,791265458.8,,637142865.7,,12366563.61,3958190759,,73153738157,,,,,,81652434337,,,,1409873950,89713683831,3.26196E+11,34579308.41,1.8315E+11,,703925705.9,,,,2037150716,,,673081724.1,,,13040000000,,3.13215E+11,,,,,,,,,,,,162956740.9,1916241997,5.83846E+11,,,449526872.6,4196092258,223854666.7,12276734172,5163271598,508334414,,5485854792,1.07336E+12,,,3749265015,537147100,2571908062,6684568805,,230496033,,11230032675,1691900000,,3193200404,,,,1.04232E+12,,,,,119000024,47172093787,,1307333333,1003692375,704756304.7,,322009471.6,,,180459936.8,,29778322464,,29929114038,,,99650000,,,15822585034,35076158.48,,12012025.25,857704431.7,,313582727.6,80085220065,,121128073.1,2760747472,,,76704221426,,,,47172093787,29929114038,535670127.7,,13995067818,,,423008385.7,,2.23789E+11,1242289239,5.433E+11,,13066557.78,7779090909,,,,,1.37054E+12,,,,7575396973,713000000,1052990400
1961,,548888895.6,,,,,,,,,,19652816665,7311749633,,202999992,12400145222,235668222.4,350247237.1,4817580184,,,190098039.2,,,29964370.71,89249986.7,406684585.7,15236854859,,,,32902336.64,123134584.5,40934952064,,10712712465,,4609727273,50056868958,618245639.2,657597382.8,3086746857,151675739.2,4540447761,,,490325181.6,2038301739,,,,,,,,,,654100200,2434776646,70445726828,1.53495E+11,1.53706E+11,,,1753850417,,2.69034E+11,,13834300571,,,,17601608277,5921659485,116987784.9,67461644222,,,167637907.4,77741965703,,1302674264,,,,,,4961400439,,,1076699900,,185848451.3,1.12506E+12,1383681651,356200000,17820394501,,271066000,,2.90585E+11,3.30013E+11,39870443103,12925998596,,27998528711,,39232435784,,2088012282,4426949095,1831700364,253885656.3,3138500000,44842760293,748028839.4,,53508617739,,792959472.1,,642857134.3,,12483229.31,2417558289,,76526614142,,,,,,86451332969,,,,1444327731,94941335524,3.14115E+11,35699286.01,1.69123E+11,,704145671.4,,,,2025689537,,,699161943.9,,,14160000000,,3.00913E+11,,,,,,,,,,159213462.5,,174576508.5,1901868548,6.04324E+11,,,485785234.9,4467200336,240524723.4,13493833740,5632460937,531959561.6,,5670064168,1.12874E+12,,,4118647627,599026300,2899654840,7256966966,,244832035,,11610062485,1865100000,,3417516639,,,,1.10205E+12,,,,,122000016,50333258390,,1419333333,1058975266,764634783.7,,327834680.6,,,191659914.4,,30942405942,,31098083573,,,107700000,,,17212686615,43025199.5,,11592024.36,945244992.2,,333975336.6,70300938452,,126396469.7,3034043574,,,81096175117,,,,50333258390,31098083573,584961208.7,,7988888889,,,441524109,,2.03963E+11,1547388781,5.633E+11,,13999883.33,8189090909,,,,,1.42578E+12,,,,7972996814,696285714.3,1096646600
1962,,546666677.8,,,,,,24450604878,,,,19892485161,7756110210,,213500006,13264015675,236434906.8,379567178.3,5081413340,,,212254902,,,31856922.86,94149985.97,444665186.4,19926293839,,,,35643207.63,124482748.9,42227447632,,11879982759,,5416272727,47209359006,645284344.7,699373701.2,3779841429,166521239.9,4955543963,,,479180824.3,2153895645,,,,,,,,,,824100000,2001468868,64553499047,1.58621E+11,1.57268E+11,,,1518208221,,2.98896E+11,,16138545209,,,,19411194819,6340580854,122906435,75607529810,,,182796536.5,81247564157,,1382515590,,,,,9122751.453,5213047711,,,1143600000,,194948375.4,1.21448E+12,1612346412,387750000,19394369745,,281896800,,3.02662E+11,3.45508E+11,42986660844,13822953410,,30324912024,,42161481859,,2260349684,4693566416,1954634836,284916516.2,2510000000,50383891899,777712445.8,,60723018684,,868111400,,660000008.6,,12541562.15,2814318517,,87603713901,,,,,,98888515839,,,,1434156379,96645631677,3.27812E+11,41859162.82,1.77433E+11,,741509480.8,,,,2379606422,,,739286906.9,,,15200000000,,3.12902E+11,,,,,,,,,,164271590.8,,183116337.7,2001502679,6.47422E+11,,,531736492.9,4909302954,265291588.7,14647057370,6066976683,574091101.2,,6077496268,1.21843E+12,,,4310163797,652120900,3286773188,4399827768,,261184037.4,,12678821352,2094400000,,3668222358,,,,1.18994E+12,,,,,125000008,53723107291,,1541666667,1085475573,826244610,,342721579.8,,,203531927.5,,33524213200,,33692973747,,,116150000,,,18667251380,45927061.46,,12642026.57,1110565864,,357635713.9,64420821073,,132237441.6,3308912797,,,92824010529,,,,53723107291,33692973747,619319197.3,,8922222222,,,449012578.6,,2.14716E+11,1710004407,6.051E+11,,14524878.96,8946969697,,,,,1.53006E+12,,,,8497996604,693142857.1,1117601600
1963,,751111191.1,,,,,,18272123664,,,,21507447643,8374175258,,232749998,14260017387,253927646.5,394040749.1,5319458351,,,237745098,,,33749405.01,96366652.31,478805990.1,23021477292,,,,38091150.57,129379097.9,45029988561,,13063643796,,5668187500,50706799903,761047045.8,723624365.3,6213185743,172233430.9,4836166667,,,511902136.8,2290313586,,,,,,,,,,940799900,2703014867,69902479790,1.68185E+11,1.75495E+11,,,1824344492,,3.35428E+11,,19074913948,,,,22316616123,6885920329,129454728.6,84759195106,,,154480244.2,86561961812,,1540797517,,,,,10840095.13,5895278024,,,1262800000,,175756868.7,1.30829E+12,1935298266,410200000,23398507854,,294883400,,3.23212E+11,3.71655E+11,48344417875,14629644423,,35220677188,,48421923459,,2430843768,4928628018,1978437693,340061650.1,2992333333,57710743060,826690466.2,,69498131797,,926589348.6,,728571437.1,,12833226.39,3988784572,,88014650000,,,,,,99800594009,,,,1240672269,1.07937E+11,3.53185E+11,47039059.22,1.92306E+11,,791140595.8,,,,2657247327,,,759345863,,,16960000000,,3.34264E+11,,,,,,,,,,168186331.3,,190816183.7,2510126748,6.83726E+11,,,586294761.5,5165489010,292916241.1,15891241386,6510239503,496947904.4,,6638937283,1.31332E+12,,,4630827383,722784500,3600957771,4875309866,,275968039.5,,14775556334,2333600000,,3905734460,,,,1.28178E+12,,,,,128000000,60428041357,,1568333333,1122139637,917614007.6,,348546952.1,,,216145935.9,,38407931793,,38600645097,,,125950000,,,20204870630,54128377.43,,13923029.26,1200447429,,371767002.7,69758807959,,143255784.5,3540403457,,,93433637677,,,,60428041357,38600645097,678235373,,10355555556,,,516147798.7,,2.24358E+11,1539681491,6.386E+11,,13708219.1,9753333333,,,,,1.64829E+12,,,,9423396234,718714285.7,1159511700
1964,,800000044.4,,,,,,25605249382,,,,23764139321,9169983886,,260750008,15960106681,269818988.3,410321785.6,5386054619,,,266666666.7,,,36193826.12,107566650.6,539491477.3,21211892260,,,,41613969.05,142025069.5,49377522897,,14480556572,,5982347826,59708343489,921063266.4,782384527.8,2881545273,185693724.8,5973366667,,,542578367.2,2470264537,,,,,,,,,,1025599900,2909351793,81044807821,1.93054E+11,2.01631E+11,,,2244146868,,3.7312E+11,,21343844644,,,,19648662453,7766655086,140032741.5,94007851047,,,215679855.3,94407558351,,1731296119,,,,,12712471.4,6669673257,,,1299099900,,194773376.9,1.42803E+12,2206466461,457000000,20904323821,,325281200,,3.66574E+11,4.13337E+11,47408485370,15964807239,,32567187835,,56480289941,,2766608946,5379845647,2340521143,434267936.9,3405333333,63175417019,897931401.4,,81749006382,,998759333.6,,782857128.6,,13416554.86,3458939358,,98268086144,,,,,,1.11216E+11,,,,1309747899,1.21807E+11,3.92967E+11,51938961.22,2.12141E+11,,903158753.9,,,,2798339769,,,802482182.9,,,20080000000,,3.77764E+11,,,,,,,,,,224495789.3,,194736105.3,2674441396,7.35285E+11,,,582816358.3,5552822484,341973758.9,18699380731,7159202706,496098775.3,,7274144351,1.4354E+12,,,5204955901,776137500,4356913870,5271404668,,305312043.7,,13764646104,2570500000,,4235608178,,,,1.39844E+12,,,,,129999994,69181538978,,1611333333,1188930568,894159153.3,,371848114.7,,,229529912.7,,37509722775,,37699952850,,,134400000,,,22532416750,64979280.41,,15393032.35,1339494290,,392247517.6,80878234962,,166104067.6,3889129942,,,1.0415E+11,,,,69181538978,37699952850,711893367.6,,11177777778,,,589056603.8,,2.53744E+11,1975701816,6.858E+11,,14758210.35,8099318182,,,,,1.80566E+12,,,,10373995855,839428571.4,1217138000
1965,,1006666638,,,,,,28344705967,,,,25936835032,9994070616,,158994963,17371457608,289908720.6,422916848.4,5906636557,,,300392156.9,,,40069930.07,114339049,604377104.4,21790035117,,114040245.7,,45790869.75,150574816.3,54515179581,,15346741670,,6026593750,70436266147,919771356.4,814139855.8,4043901818,198318063.9,5760761905,,,592981162.3,2660946061,,,,,,,,,,888100000,3136258897,94580860952,2.0937E+11,2.24576E+11,,,2387048255,4948667540,4.07845E+11,,24756958695,,,,21583920052,8589340019,147084750,1.01537E+11,,,226474285.6,1.01825E+11,,2053462872,,,,,64748333.33,7689154053,,,1331399900,,213235294.1,1.55078E+12,2435078534,508650000,24406875600,,353251800,,4.01056E+11,4.54161E+11,53617985478,17328250389,,37719212748,,59554854575,,2945704143,6197319930,,523694949.4,3663333333,67978153851,972140557.2,599831979.8,90950278258,,997919320,,868571428.6,,13593932.32,3120833333,2097451694,1.0519E+11,,,,,,1.18565E+11,,,,1698319328,1.31174E+11,4.32953E+11,54878902.42,2.36616E+11,,921600736.3,,,,2948325264,,,833563472.2,,,21840000000,,4.15006E+11,,,,,,,,,,255340526.7,,229455410.9,2956356984,7.9833E+11,,159594493.5,673383604.2,5874422512,566542872.4,21000586933,8058681060,735267082.3,,5654463586,1.55792E+12,63287594.51,,5929231415,852485300,5166861068,5784398977,,344159480.3,,15509646562,2881500000,,4687464055,443587301.6,,,1.51937E+12,176534589.6,,,,148799980,74298708607,,1679333333,1210058396,974650463.9,,359379856.2,877720000,,243724533.2,,41772259459,,41982372284,,,154150000,,,24795499686,70278594.43,,15603032.8,1472036551,,416926303,94386467198,,187300336.4,4388937649,,,1.10872E+11,,,,74298708607,41982372284,736568861.9,991047619,11966666667,,,884873949.6,,2.81618E+11,1890769326,7.437E+11,,15108207.43,8427777778,,,,,1.96626E+12,,,,11334395471,1082857143,1311435800
1966,,1399999967,,,,,,28630474728,,,,27268451114,10887682273,,165444571.4,18651883472,302925280.8,433889831.6,6439687598,,,340000000,,,44405594.41,134173373.8,669191919.2,27062716578,,132758395.4,,51464435.15,157930041.9,61088384037,,16480058705,,7072641026,76720285970,1024103034,853268771.1,4532660182,220613582.4,5428518519,,,647305630.2,2888647975,,,,,,,,,11931739859,983900000,3039834559,1.0354E+11,2.06447E+11,2.5108E+11,,7.35307E+11,2429309514,5278005612,4.44997E+11,,28721062242,,,5.03725E+11,23007146959,9208524505,150603925.5,1.10046E+11,,,245849781.7,1.08573E+11,,2126300573,,,44212353.7,,69110000,8591517944,,,1390700000,,228705882.4,1.70121E+12,2489845017,549950000,26580627938,,368948600,,4.13169E+11,4.71058E+11,58168047860,18851263551,,40856104084,,45865462034,,3104034393,6789938673,,628893310.4,3980000000,73654870011,1096738065,658078969.5,1.05628E+11,,1164519673,,914285714.3,,14469078.18,3928908381,2391486978,1.15239E+11,,,,,,1.30042E+11,,,,1751470588,1.19197E+11,4.48177E+11,56698866.02,2.62725E+11,,968440149.5,,,,2876395613,,,900264583.7,,,24320000000,,4.2883E+11,,,,,,,,,,266533659.2,,260394792.1,3143538482,8.76223E+11,,164206537.6,702296184.4,6366792664,606671444,22867203317,8696460205,906811943.8,,5863733231,1.7099E+12,67768132.18,,6561108778,928833000,6113607728,6371459304,,390973233.3,,17036447336,3170500000,,5135387846,465888888.9,,,1.66655E+12,215659455,,,,124525702.9,62476963477,,1723000000,1246908374,1096432771,,375479849.8,929520000,,257374455.8,,45074354237,,45300633106,,,190350000,,,26971486546,76858462.83,,16443034.56,1342287557,,432794922.5,1.03327E+11,,216136263.9,5279230817,,,1.21584E+11,,,,62476963477,45300633106,723735635.5,1040952381,14100000000,,,925770308.1,,3.09764E+11,1809183975,8.15E+11,,16099865.83,8781333333,,,,,2.13333E+12,,,,12354995063,1264285714,1281749500
1967,,1673333418,,,,,,24256667553,,,,30397580916,11579431669,,178297142.9,19992040788,306222000.4,450753993.2,7253575399,,,390196078.4,,,47379310.34,155102984.6,755808080.8,30591834054,,139030445.6,,58646443.51,163820538.9,65668655501,,17740013179,,7013196078,72881631327,1082922892,934079050.3,3384063372,237397428.3,5825170438,,,699456618.9,3102515473,,,,,,,,,13059064375,1034800000,3370843066,1.00327E+11,2.16937E+11,2.72054E+11,,7.9188E+11,2553596092,5605484299,4.83543E+11,,31647119228,,,5.47453E+11,22309587918,9368954010,162625885.9,1.18973E+11,,,271543680.3,1.13117E+11,,1747187539,,,46695363.16,,72317446.93,9275600800,,,1453500000,,250176470.6,1.82525E+12,2692474989,598100000,26032508155,,369124200,,4.25012E+11,4.83385E+11,58752799152,18943406980,5667756645,41385264721,,50134942203,,3343636773,7555383690,,621225962.2,4030000000,81133120065,1148025407,631755810.7,1.23782E+11,,1232559506,,962857134.3,,16742338.25,4855907142,2441893027,1.18361E+11,,,,,,1.33468E+11,,,,1859465021,1.2702E+11,4.60431E+11,59260814.78,2.65402E+11,,974721762.5,,,,3046339295,,,956436931.1,,,26560000000,,4.415E+11,,275494520.1,,,,,,,,282615367.5,,269814968.2,3188945512,9.27524E+11,,180036768.9,665586975.1,5203135937,657171436.7,25087562181,9514496703,841974025.5,,5961418094,1.83556E+12,107152720.2,,7464510710,1034376400,6204253759,6809134236,,441706910.1,,16082690461,3532700000,,5740241166,492674603.2,,,1.78901E+12,220984369.1,,,,159560018,68735388741,,1865666667,1246480959,1238043904,25203524.03,348795303,976200000,,271780364.8,,44555341761,,44779441018,,,220700000,,,29275995675,74758504.83,,16632032.81,1580229795,,449826323,1.00121E+11,,231706475.5,5638461442,,,1.24467E+11,,,,68735388741,44779441018,761981474,1085714286,15644444444,,,967647058.8,,3.13978E+11,1597721080,8.617E+11,,15835177.93,9250000000,,,,,2.27094E+12,,,,13777394495,1368000000,1397002000
1968,,1373333367,,,,25891671667,,26436857247,,,,32665472057,12440625313,,183200000,21376353113,326323097.4,460442864.2,7483685474,,,444901960.8,,,44910179.64,150000000,857912457.9,33875881876,,160819286.6,,66248256.62,191767437,71829810520,,18942729779,,7167086957,70846535056,1281281246,1053077155,3909780539,251247458,5960212869,,,773841494.3,3083590684,,,,,,,,,13505573867,1079100000,3852115817,1.01263E+11,2.34834E+11,2.99758E+11,,8.28356E+11,2582180794,5932242991,5.19125E+11,,31475548481,,,5.86401E+11,23564637931,8823033880,166952937.1,1.29785E+11,,,294468564.5,1.0776E+11,,1666910166,,,41160658.57,,67514285.71,10090675903,,,1610500000,,229750000,1.97935E+12,2716964388,646800000,27558032272,,367968800,,4.4913E+11,5.10471E+11,61766487756,20006178268,7076465295,43398372519,,53085455871,,3278584478,8623172960,2896947634,474399471.6,4619000000,87942231678,1083883355,561187342.5,1.46601E+11,,1353295458,,1065714249,,14600000,6119284294,2663119574,1.27916E+11,,,,,,1.43752E+11,,,,1801344538,1.35036E+11,4.86697E+11,61444771.1,2.70926E+11,,1066447131,,,,3271415868,,,1031669636,,32442925731,29360000000,,4.66831E+11,,343771964.7,,,,,,,,311396000.3,,245169806.8,3330393310,1.01448E+12,,215507164,641214210.7,5200895982,695899980.4,27817605743,10159934137,772228643.4,,5180597621,1.9911E+12,188864890.8,,8041999160,1112791100,5736083835,7591603053,,485160824.3,,16957187176,3941700000,,6354262628,517650793.7,,,1.94049E+12,259590076.3,,,,172200018,72041947230,4187777711,1947333333,1309384830,1425715406,28084252.76,329860091.9,1009760100,,286718279.7,,47653388590,,47891153305,,,241350000,,,31066819929,79798404.03,,16074027.35,1753746370,,453980096.7,1.01055E+11,,241956910.7,6081009428,,,1.33896E+11,,,,72041947230,47891153305,758899950,1214666667,17500000000,,,1037815126,,3.31177E+11,1593675330,9.425E+11,,15350000,10034444444,,,,,2.45143E+12,,,,14894594048,1605857143,1479599900
1969,,1408888922,,,,28429218942,,31256284544,,,,36628961810,13582798556,,190205714.3,23710735895,330748211.5,478298781.5,8471006101,,,528137254.9,,,47305389.22,164900000,929629629.6,37458898244,,161211289.7,,77356914.08,188039191.3,79148411662,,20524886616,,8377093023,79705906247,1361360157,1152418515,5032434970,265040036.1,6450175214,,,853630203.8,3359706533,,,,,,,,,15414902267,1230500000,4257218772,1.13708E+11,2.6232E+11,3.45294E+11,,9.16216E+11,3112166848,6524455206,5.79481E+11,,36038711600,,,6.53663E+11,26498808525,10070766721,182182067.7,1.41903E+11,,,318124701,1.16465E+11,,1962051319,,,45168722.7,,67225714.29,11615657031,,,1715399900,,249300000,2.17769E+12,3189740055,668000050,30674117822,,391820400,,5.01811E+11,5.71128E+11,69744515040,22936707179,8337423313,48586538152,,58447995017,,3787077344,9743089606,3008120975,414709311.4,5329333333,97085082807,1191287652,698963875.7,1.72204E+11,,1458379415,,978873232.4,,15850000,7678581344,2769532344,1.42675E+11,,,,,,1.60981E+11,,,,1965546218,1.49527E+11,5.43911E+11,65966680.67,3.02763E+11,,1234878981,,,,3651615453,,,1056391055,,36097052544,32480000000,,5.2114E+11,,339913833.1,,,,,,,,295062138.1,,265810632.4,3664575983,1.09921E+12,,263108834.5,625867922.7,6634187316,747971449.6,34035946604,11063065083,788641965.4,,5761588762,2.19024E+12,239980801.5,,8683116338,1221305700,6420909790,8408229699,,551237316.6,,19231527624,4460700000,,6969025826,556293650.8,,,2.13366E+12,242943776.9,,,,188700037,79197830853,4485777644,2144333333,1245234807,1659904613,28606411.4,408690163.5,1049400000,,306357284.6,,54541796787,,54811755885,,,259650000,,,33738102482,105417891.6,,16452027.99,2245011572,,471635620.9,1.13474E+11,,267732446.4,6695336567,,,1.49867E+11,,,,79197830853,54811755885,779200000,1289904762,19466666667,,,1169047619,,3.71053E+11,2004435484,1.0199E+12,,16650000,10285111111,,,,,2.70463E+12,,,,16780393295,1965714286,1747998800
1970,,1748886596,,,78619206.09,32013479421,,31584210366,,,,41271138985,15373005769,,242732571.4,26706196127,333627758.2,458404330.1,8992721809,,,538423153.7,,,53233532.93,186300000,1017003367,42327600098,,179080099.3,,96245114.46,189106554.5,87896095224,,24274075006,,9126309735,92602973434,1455482990,1160002261,4877684910,274960699.9,7198360460,,,984830158.5,3695257609,5693005200,,,,,2.15838E+11,,,17075457600,1485500000,4863487493,1.26754E+11,2.78994E+11,4.0733E+11,,1.01599E+12,2862504170,8042200452,6.42869E+11,,40992995959,,,7.26137E+11,32235687877,11357517271,219878482.2,1.48456E+11,,,323802475.5,1.30672E+11,,2215029450,,,52296836.75,78733594.84,66331428.57,13139862500,,69520026.67,1904000000,,267800000,2.38293E+12,3800766536,723000000,32098069784,,331200000,,5.45675E+11,6.26331E+11,80790198633,31459740800,9150684932,50385248995,,62422483055,,4401259497,10976245154,3281713806,527496590.9,7048666667,1.13395E+11,1404776071,639596751.6,2.12609E+11,,1603447357,,718401157.7,14295279.54,16300000,9005023184,2873984878,1.55226E+11,,,,,,1.75257E+11,,25998766982,90098330.67,2296470588,1.65774E+11,5.96666E+11,68738625.23,3.4395E+11,,1509155063,,,,3956328426,293073868,,1111859570,,41524683502,35520000000,,5.73019E+11,,359772363.3,250721821.6,,,,,,,309405316.1,,290531621.3,3864170913,1.16139E+12,,358815681.9,649916708.2,12545849083,776585681.1,38164716869,12814123115,865975308.6,,6495605290,2.39086E+12,256299496,3153481327,10027509450,1351006400,7432223177,6687204834,,645537126.2,,23492519177,5034700000,,8108235007,594611111.1,,,2.33225E+12,254035999.2,301791301.8,,,219900006,85739817097,5377333333,2437666667,1297407829,1920586698,,434410373.8,1132920000,,322600009.1,,64122529702,,64438892138,7898249535,,274900000,,,38092452022,112137757.2,,18432031.36,2140383696,,469266736.6,1.26494E+11,,253976626.2,7086538438,,,1.63015E+11,,,,85739817097,64438892138,821850000,1439238095,17086956522,,,1260084034,,4.06484E+11,2137096774,1.0733E+12,,18450000,11561111111,,,,,2.96086E+12,,,,18418392640,1825285714,1884206300
