Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,54211,8996973,5454933,1608800,13411,92197753,92418,20481779,1874121,20123,54131,10276477,7047539,3895397,2797932,9153489,2431622,4829288,48013504,7867374,162427,109534,3225668,8198000,92064,44400,3656955,72179226,230980,81702,223288,502745,1501668,17909009,91401764,5327827,109420,8132990,667070000,3503553,5176918,15248251,1018253,16057724,191121,201765,1330782,4194710,7141250,124826,7865,572930,9602006,72814900,83636,60011,4579603,3294224,11057863,894875726,980003389,1040958103,256240337,666753314,4543666,26632894,265203934,1007590,30455000,1211537,22151278,356906076,174658134,4429634,393481,46621669,34615,44514,500928,52400000,3645600,6635230,23420,3494162,365047,616136,255333,8331725,89932,32500,4128880,66742,571819,779264537,3075605,2038632,161734357,4140181,3866159,9983967,1919643286,2299245357,379602071,120391634,87751068,259210437,48442,450547679,,2828600,21906914,7289760,175574,2114020,50199700,1628520,933102,92500572,9934563,8120080,2172300,5722370,41202,51195,25012374,269029,204132318,2120898,1804941,1118657,1448417,89697,219825934,240518433,143735578,16493,9874476,876215767,2252173238,837270,1096903445,2778550,313970,2120979,167791,3893,12328532,22452,2043664,5099373,89863,105203269,37771859,14662,2108437660,1488667,5263733,326550,21736942,97553162,480579,955505,9979,7184869,850384,659351,3659984,8156347,198624409,634142,79000,3388764,45138458,1773129,11486631,3581239,10105050,4375,2371800,807366946,551740,9151857,44988690,1132997,10155015,26269734,9771,2255859,29637450,187617091,2358000,11424176,8857716,1903982,,865072,754514355,78076,47384,18406905,119897000,2935582,572839523,4086539,7544491,3206749,1646400,117849,2317636,2766324,15432,2755972,,226532172,2842724,227233223,14211639,64302,287871,4068095,1584720,7484656,336583,,41700,4573512,5824,3001609,883445573,308424873,1580513,27397207,2087049,1603258,209749003,474532,97553162,61577,572839523,227233223,847979,4178236,27472345,5323,10052152,6767095,42664652,1232221893,2538643,180671000,8526300,80977,8141841,8048,32500,32670039,63689,3031437775,108629,947000,5315355,17099840,3070776,3776681
1961,55438,9169410,5531472,1659800,14375,94724510,100796,20817266,1941492,20602,55001,10483000,7086299,4030322,2852438,9183948,2465867,4894580,49362843,7943118,167894,115121,3288603,8271216,94703,45500,3728964,74311343,231718,85562,228851,512685,1526066,18271000,92232738,5434294,110399,8303811,660330000,3631553,5285017,15637699,1043116,16567811,194139,205327,1381183,4274060,7291200,126125,8026,576395,9586651,73377632,88498,61032,4611687,3406280,11336339,894479483,1003194954,1044544622,260376293,674450648,4674172,27366237,267621101,1033328,30739250,1225077,22671191,359998418,178611702,4461005,407249,47240543,35076,45932,505799,52800000,3703600,6848295,23813,3552065,372445,622761,258791,8398050,91327,33700,4251911,68072,589274,790787419,3168100,2096409,165573152,4167292,3941944,10029321,1940356980,2329154667,388797687,123271006,90098394,265526681,48281,459642165,,2824400,22480372,7475350,179029,2185000,50536350,1651073,973988,94943000,10349414,8377696,2255900,5872966,42229,51192,25765673,300576,209907556,2170344,1864619,1142302,1498071,90716,225909652,246113640,146949519,16893,10111637,895901294,2281693579,852890,1099284942,2823550,316845,2152681,170462,3989,12710581,22808,2092667,5223568,92325,108061812,38966056,15051,2134744060,1507654,5322266,325250,22211624,100147129,491140,982178,10245,7342111,875581,680757,3747753,8417824,202007500,649279,81200,3486326,46063563,1829778,11638712,3609800,10267264,4632,2419700,820197197,564893,9315842,46065231,1167113,10446620,27161047,10049,2297059,29964000,191889701,2399722,11665595,8929316,1954548,,893380,765311460,80706,51421,18555250,121236000,2998325,584939726,4218853,7769482,3295278,1702400,121378,2352363,2846600,15837,2814118,,231843392,2895605,232567038,14483282,64602,295916,4191667,1594131,7519998,343345,,42889,4721896,5874,3060368,882807967,313062835,1597526,28224187,2159134,1658362,215629972,482854,100147129,63715,584939726,232567038,864818,4238142,28146910,5335,10346697,6983818,43206345,1238842766,2571681,183691000,8813616,82169,8439261,8167,34300,33666110,65705,3072480998,112105,966000,5393036,17524533,3164329,3905034
1962,56225,9351441,5608539,1711319,15370,97334442,112118,21153052,2009526,21253,55841,10742000,7129864,4171426,2907321,9220578,2502896,4960326,50752157,8012946,173144,121091,3353226,8351928,97384,46600,3802990,76514328,232633,89481,234554,523778,1551910,18614000,93009498,5573815,111457,8476897,665770000,3770766,5398729,16041190,1069238,17092918,197198,210142,1433335,4353628,7453540,128414,8146,577691,9624660,74025784,94204,61982,4647727,3521018,11619828,906413883,1027204721,1059018809,264562390,682397793,4809201,28112256,270110056,1060486,31023366,1241623,23221389,363200473,182724039,4491443,421665,47904877,35524,47367,511287,53250000,3760300,7071971,24313,3611429,379894,628883,262219,8448233,92484,35000,4378604,69604,606285,800940275,3305200,2155647,169567094,4196712,4019173,10061734,1974019004,2372380778,398361774,126289823,92518377,272071951,48418,469077190,,2836050,23071315,7674220,182378,2293000,50879450,1676501,1010658,95832000,10756928,8647011,2333400,6028431,43281,50963,26513030,337348,215860314,2221125,1925297,1166648,1550813,91891,232179888,251900741,150246788,17289,10352179,916256413,2324516396,869136,1113927865,2863350,320750,2181586,176183,4076,13094888,23039,2140063,5352503,94905,111045434,40195319,15547,2174269608,1527111,5381368,323900,22697667,102808053,502558,1011324,10436,7507303,901686,700349,3839043,8692342,205198600,665115,83400,3588228,47029822,1887425,11805689,3638918,10433145,4944,2482000,831669776,578823,9485204,47198878,1202449,10749466,28077339,10317,2340352,30308500,196349224,2450322,11871712,8993985,2006670,,923306,774755029,83655,56262,18676550,122591000,3052936,597494449,4362786,8004121,3386806,1750200,125040,2388769,2931192,16255,2874218,,237377307,2951043,238121698,14762138,64479,303895,4238188,1603649,7561588,350156,,44042,4875422,5884,3121236,894536179,317744152,1612755,29080938,2236574,1715408,221676247,491571,102808053,66235,597494449,238121698,879441,4305481,28832827,5340,10651962,7215796,43752230,1258013195,2603882,186538000,9113620,83237,8742777,8310,35000,34683407,67794,3125456671,115776,994000,5473671,17965725,3260650,4039201
1963,56695,9543205,5679458,1762621,16412,100034179,125130,21488912,2077578,22034,56702,10950000,7175811,4315127,2964427,9289770,2542859,5027821,52202007,8078145,178140,127339,3417574,8437232,100164,47700,3879192,78772657,233630,93540,240523,535685,1579370,18964000,93840016,5694247,112595,8650387,682335000,3918628,5518104,16461830,1096638,17629979,200372,216096,1486553,4432217,7623294,130860,8227,577913,9670685,74714353,100628,62918,4684483,3638109,11912803,929634713,1051972900,1084796352,268766825,690411689,4948986,28871383,272655378,1088854,31296651,1258857,23798430,366516491,186993460,4523309,436293,48582611,35969,48855,517580,53650000,3816100,7300116,24889,3672556,387641,635011,266000,8479625,93413,36400,4508444,71286,622575,811022742,3420900,2216704,173722855,4225675,4097755,10087947,2019553751,2427869473,408315722,129443842,95015297,278871880,48800,478825608,,2852650,23680258,7888913,185653,2379000,51252000,1703651,1050213,96812000,11147859,8928511,2413700,6183584,44338,50525,27261747,378746,221965763,2273351,1985001,1191802,1607171,93211,238608946,257908074,153662705,17719,10597511,937247174,2379541290,886057,1139889921,2898950,324100,2210919,184245,4183,13478423,23168,2185050,5486319,97551,114101592,41462369,16114,2225878585,1547450,5441613,322550,23198241,105546273,513409,1042383,10590,7679458,928734,718861,3933908,8973788,208253700,681637,85700,3693980,48032934,1946234,11965966,3666537,10604621,5275,2531800,843125442,593504,9659445,48387301,1238889,11062300,29012625,10569,2385946,30712000,200997724,2504530,12065468,9030355,2060339,,954111,784053801,86847,61716,18797850,123960000,3105419,610498327,4516533,8248812,3481654,1795000,128838,2426857,3019224,16679,2936477,,243129389,3009062,243893426,15045773,64231,311947,4282017,1616971,7604328,357292,,45176,5034646,5870,3183572,917563055,322502350,1631764,29966865,2318248,1773853,227866042,500647,105546273,68981,610498327,243893426,891944,4380068,29531365,5343,10968195,7461634,44288608,1288631411,2635126,189242000,9428906,84198,9052635,8476,39800,35721217,69946,3190564032,119559,1022000,5556766,18423161,3360104,4178726
1964,57032,9744781,5735044,1814135,17469,102832760,138039,21824425,2145001,22854,57641,11167000,7223801,4456687,3026290,9378113,2585965,5098890,53741716,8144340,182887,133709,3478997,8524224,103069,48900,3957757,81064571,234586,97812,246964,547873,1608616,19325000,94715795,5789228,113773,8821858,698355000,4071411,5643036,16903831,1125352,18175185,203753,222948,1539941,4508198,7793262,133148,8298,578625,9727804,75318337,107583,63926,4722072,3757132,12221675,952494250,1077531293,1110214377,272959737,698355562,5093854,29644875,275163387,1118159,31609195,1277086,24397022,369850244,191428676,4548543,450542,49230595,36406,50468,524895,54000000,3870300,7524472,25479,3735916,396011,641812,270618,8510429,94123,37600,4640795,73051,637845,821010585,3504600,2280048,178048171,4252876,4177637,10119835,2065153369,2483839955,418686586,132726683,97596733,285959903,49391,488848135,,2866550,24307860,8122197,188983,2475000,51675350,1730738,1102399,97826000,11511847,9222692,2495300,6331449,45399,49931,27984155,423898,228189484,2327137,2041229,1217901,1667825,94636,245143687,264174179,157248410,18168,10849975,958816595,2435054182,903763,1165421489,2935200,327750,2240623,193561,4308,13857649,23236,2228429,5625164,100171,117271166,42771079,16710,2277805772,1569142,5503752,321250,23717788,108376339,521753,1074514,10783,7857104,956799,736381,4032371,9253842,211262900,698796,88100,3802803,49066760,2006481,12127120,3694339,10783967,5592,2585400,854570515,608889,9840384,49627623,1276331,11383373,29958688,10799,2434223,31139450,205835453,2554066,12282419,9035365,2115567,,984823,793187000,90139,67566,18919126,125345000,3164263,623943332,4677298,8503994,3580239,1841600,132759,2466667,3109563,17099,3001158,,249091040,3069739,249873743,15333405,64277,320270,4327341,1632114,7661354,365122,,46322,5200336,5848,3246523,940205368,327271189,1662073,30881138,2402477,1833064,234169984,510034,108376339,71741,623943332,249873743,902613,4461114,30244261,5356,11295681,7719104,44796964,1318989177,2665388,191889000,9762816,85111,9369096,8646,40800,36779999,72115,3256064767,123342,1050000,5641597,18896307,3463213,4322861
1965,57360,9956320,5770570,1864791,18549,105736431,149857,22159650,2211319,23672,58698,11388000,7270889,4592609,3094379,9463667,2632356,5174870,55385112,8204168,187431,140059,3535643,8610000,106119,50100,4038872,83373530,235413,102386,253994,559994,1639706,19678000,95440988,5856472,114995,8989621,715185000,4226844,5773543,17369883,1155392,18725245,207424,230418,1592841,4580374,7958169,135266,8369,580966,9779358,75963695,114963,65038,4759012,3877765,12550885,976360592,1103859977,1136691455,277095496,706070485,5243977,30433022,277650957,1148189,31954292,1294566,25013626,373032732,196036841,4563732,463968,49818028,36847,52227,533361,54348050,3921600,7739473,26073,3801705,405259,649790,276300,8550333,94636,39200,4774984,74830,651868,830622425,3597900,2346015,182548785,4280923,4258732,10147935,2111931230,2541414867,429483637,136134379,100267062,293349258,50141,499123324,,2877300,24954873,8375790,192286,2563000,52112350,1756511,1173606,98883000,11841920,9530173,2573300,6467197,46429,49214,28704674,472037,234504556,2382594,2092375,1245102,1733306,96134,251756127,270720892,161039182,18649,11110820,980920377,2492350942,922306,1191679472,2971450,331500,2265919,203228,4468,14230163,23282,2269399,5769218,102718,120541214,44123853,17284,2331311760,1592433,5568484,318800,24259359,111307812,526327,1107124,11022,8039215,985910,753000,4134460,9526558,214031100,716584,90500,3914117,50127921,2068381,12294732,3723168,10972912,5856,2628400,865696062,625009,10026016,50917975,1314677,11711392,30909988,11003,2485437,31444950,210864985,2594000,12547525,8998595,2172306,,1014638,802029735,93438,73633,19031576,126745000,3235531,637823175,4843635,8770097,3682876,1886900,136816,2508219,3201313,17513,3068459,,255259311,3133150,256059811,15621028,64892,328936,4370983,1649160,7733853,373919,,47500,5373137,5823,3309586,963806254,331852945,1708630,31822660,2487976,1892599,240564870,519686,111307812,74345,637823175,256059811,911737,4547941,30972994,5386,11634832,7986066,45264548,1350391383,2694536,194303000,10116870,86011,9692278,8830,43500,37858951,74270,3322973367,127054,1078000,5727751,19384841,3570464,4471177
1966,57715,10174836,5781214,1914573,19647,108758610,159976,22494035,2276034,24462,59915,11651000,7322066,4721523,3170490,9527807,2682159,5256363,57157654,8258057,191780,146382,3586636,8696496,109347,51000,4122517,85696505,236088,107274,261668,571964,1673019,20048000,96146336,5918002,116227,9152844,735400000,4383728,5909882,17862049,1186785,19279740,211478,238655,1645083,4648367,8115487,136682,8441,585309,9821040,76600311,122866,66311,4797381,3999796,12902627,1003799559,1130947722,1166600015,280497625,712830280,5399422,31237600,279969040,1178875,32283194,1308597,25641044,376039119,200829540,4580869,476404,50330262,37278,54192,543112,54648500,3966700,7941412,26633,3870203,415478,658994,283506,8613651,94934,40500,4910790,76607,664521,839699004,3629900,2414803,187227582,4310701,4341318,10178653,2161881272,2602626854,440745582,139672983,103025426,301072599,51049,509631500,,2888800,25624373,8651162,195570,2629000,52519000,1780518,1267062,99790000,12132559,9851444,2655300,6585035,47434,48358,29435571,523166,240902688,2439196,2136617,1273464,1803683,97715,258435743,277573029,165047561,19152,11380670,1003559712,2553332797,941794,1220687500,3008050,333895,2283217,213192,4685,14595350,23305,2307959,5918595,105136,123908159,45519737,17842,2388285236,1617795,5635859,315200,24823940,114351833,526419,1139961,11344,8225921,1016100,768813,4240429,9790084,216659000,734867,93500,4027963,51217973,2131976,12456251,3753012,11172529,6067,2675900,876328785,642001,10214279,52260189,1353842,12045787,31864182,11179,2539674,31681000,216096098,2624995,12864954,8930990,2230741,,1043386,810302158,96716,79846,19215450,127468000,3321679,652144182,5015357,9047798,3789383,1934400,140991,2551578,3293952,17918,3143648,,261636910,3199343,262454422,15906032,66183,338158,4411666,1669905,7807797,383826,,48699,5553246,5791,3372189,990927389,335704776,1774029,32789130,2574511,1952141,247044252,529327,114351833,76771,652144182,262454422,919217,4641000,31717507,5438,11985440,8263439,45684979,1384725524,2722875,196560000,10493436,86903,10022592,9025,46200,38958048,76395,3393031801,130673,1106000,5816247,19888250,3681955,4623351
1967,58055,10399926,5774243,1965598,20758,111899364,169771,22828869,2339127,25248,61241,11799000,7376998,4843868,3253218,9580991,2735307,5343019,59034249,8310226,196063,152620,3632672,8785648,112692,52000,4208676,88035814,236659,112448,269947,584092,1708302,20412000,97043270,5991785,117474,9312095,754550000,4544164,6052420,18378625,1219541,19837510,215897,247527,1696732,4712526,8266380,138140,8522,591308,9852899,76951336,131397,67686,4835354,4123092,13275026,1030341039,1158861169,1195269923,283832742,719406036,5560012,32056510,281974883,1210302,32682947,1318946,26280132,378917977,205811110,4605744,487981,50775794,37705,56307,554059,54943600,4005800,8132803,27173,3941053,426629,669237,291790,8684088,95020,41900,5047435,78404,675871,848251644,3722800,2486415,192084649,4338683,4425303,10216604,2211446023,2663895555,452449532,143347882,105865571,309101650,52118,520400576,,2902450,26317783,8947404,198751,2745000,52900500,1803319,1378998,100725000,12385710,10187478,2736500,6685960,48417,47381,30130983,577164,247383939,2496920,2174738,1303035,1878877,99365,265182478,284708409,169257096,19691,11657650,1026748653,2614208557,962273,1248850536,3044400,334995,2301220,223418,4920,14954031,23292,2344108,6073526,107478,127444958,46956208,18388,2444951461,1644943,5706199,311550,25410060,117503859,522796,1173191,11721,8417702,1047344,783917,4350452,10046325,219176000,753688,96500,4144592,52342233,2197298,12598201,3784539,11382967,6223,2724100,886582531,660114,10406026,53655789,1393825,12386879,32823968,11326,2596820,31987155,221539671,2645674,13222694,8874520,2290798,,1071175,818025942,99995,86302,19534242,128196000,3420895,666908582,5195135,9337657,3899644,1977600,145317,2596805,3387383,18307,3227841,,268238396,3268405,269072224,16189727,68047,347660,4449367,1689528,7867931,394757,,49911,5740710,5764,3434825,1017110646,339692822,1855442,33778799,2662253,2011764,253607422,538909,117503859,79029,666908582,269072224,925235,4740511,32477992,5511,12348189,8550443,46063228,1418202808,2750086,198712000,10889509,87777,10359745,9222,49100,40072948,78499,3462460201,134177,1135000,5907874,20406864,3797873,4779827
1968,58386,10637063,5771652,2022272,21890,115136178,182627,23168267,2401143,25989,62521,12009000,7415403,4960232,3336927,9618756,2791590,5434041,60918454,8369603,200653,158648,3675454,8874552,116061,53000,4297517,90387079,237241,117898,278734,596947,1744194,20744000,97884022,6067714,118726,9468845,774510000,4713135,6201413,18913878,1253760,20393699,220575,256176,1747694,4773902,8413552,140298,8631,598495,9876346,77294314,140462,69040,4864883,4247558,13663583,1057848884,1187474716,1224531259,287134674,725725288,5725459,32881848,283866409,1242635,33113134,1331214,26944390,381605443,210968809,4626469,498940,51175508,38124,58388,565766,55211700,4042300,8321770,27685,4013055,438603,680432,299413,8740765,94927,43400,5184095,80217,686146,855972561,3802700,2560727,197119436,4365628,4509813,10255815,2262349893,2726850218,464500325,147154763,108779924,317345562,53254,531513824,,2915550,27032571,9260682,201488,2803000,53235750,1825879,1500163,101061000,12611426,10539894,2818300,6779787,49363,46397,30838302,632899,253941681,2556852,2210772,1333978,1958914,101035,272000993,292045744,173638890,20235,11937600,1050508855,2676854293,983685,1277803278,3078850,335850,2323619,233000,5193,15307273,23304,2377848,6234465,109891,131026912,48431972,18961,2503215403,1672399,5780835,307900,26015248,120739199,517481,1207104,12140,8614447,1079580,798413,4464423,10297983,221503000,773422,99500,4263927,53506196,2264623,12729721,3816486,11603928,6337,2748100,895921756,679595,10606249,55102684,1434669,12735486,33795194,11464,2656633,32294655,227201434,2662064,13609982,8836650,2351925,,1098154,824783296,103342,93211,19799831,128928000,3529843,682102178,5387828,9639840,4014103,2012000,149881,2644020,3481624,18668,3312742,,275087677,3340422,275937224,16478305,70257,356550,4483915,1704546,7912273,406506,,51134,5935860,5744,3499362,1044230714,343594788,1945780,34791409,2750928,2071790,260246115,548825,120739199,81079,682102178,275937224,930795,4845219,33256464,5597,12725522,8841153,46411810,1452706548,2774759,200706000,11294672,88662,10702291,9421,55700,41193601,80657,3532826854,137487,1163000,6001852,20942145,3918872,4941906
1969,58726,10893776,5803254,2081695,23058,118437195,203106,23517611,2462928,26703,63550,12263000,7441055,5071927,3413904,9646032,2850661,5528174,62679765,8434172,206043,164268,3717468,8960304,119261,54000,4389246,92746614,237955,123600,287891,611300,1778861,21028000,98606630,6136387,119972,9625312,796025000,4897472,6357092,19459816,1289522,20942456,225325,263453,1797893,4833842,8561384,142581,8827,606116,9896580,77909682,149887,70213,4891860,4373124,14061722,1087054624,1216839327,1257454897,290423856,731903703,5895367,33703139,285778637,1276123,33441054,1345249,27652709,384216975,216287242,4623785,509704,51561836,38570,60145,577646,55441750,4080300,8520015,28166,4084600,451228,692407,304000,8772764,94728,44900,5320100,82040,695745,865505604,3863900,2637513,202329943,4391490,4593669,10298723,2315407256,2792170826,476763570,151087356,111758563,325676214,54376,543084336,,2932650,27764924,9585576,203369,2877000,53537950,1849662,1617428,103172000,12824606,10910675,2894800,6880623,50267,45534,31544266,688979,260571232,2620434,2250447,1366502,2043818,102597,278892002,299473256,178150439,20766,12214956,1074867693,2741994387,1005909,1308225909,3107321,337500,2343173,240839,5459,15656843,23346,2411588,6401921,112582,134704201,49945279,19622,2563843948,1698144,5861412,304300,26635849,124023257,513340,1242214,12574,8816057,1112745,812405,4582198,10549399,223759000,794588,104000,4385927,54717039,2334279,12877984,3847707,11834654,6441,2772800,907003472,700729,10813743,56598144,1476481,13092852,34786305,11618,2718811,32548300,233086769,2684150,14010339,8757705,2413396,,1124579,833233832,106820,100883,20009141,129664000,3643237,697706104,5599904,9954410,4133322,2042500,154830,2693348,3576838,18977,3386738,,282215314,3415576,283080084,16772164,72507,363575,4518607,1713874,7968072,418747,,52365,6139048,5773,3568398,1073035641,347372787,2034907,35827092,2840262,2132802,266952953,559626,124023257,82855,697706104,283080084,937186,4953390,34055390,5670,13120580,9127857,46749283,1488976255,2795042,202677000,11694847,89568,11048262,9626,60300,42307146,82927,3607499991,140500,1191000,6097035,21496075,4045740,5111337
1970,59063,11173642,5890365,2135479,24276,121785650,234514,23880561,2525068,27363,64177,12507000,7467086,5180023,3479074,9655549,2912340,5624600,64232482,8489574,212605,169377,3760529,9040000,122182,55000,4484004,95113265,238896,129529,297316,627715,1811144,21324000,99134548,6180877,121197,9783134,818315000,5102064,6519762,20011036,1326885,21480065,230054,268627,1847394,4893454,8712541,144739,9144,613618,9858071,78169289,159659,71073,4928757,4499720,14464985,1117162966,1246947682,1290384064,293690906,737524802,6069376,34513850,287338845,1310945,33814531,1360076,28415077,386322908,221759427,4606307,520562,51957738,39009,61417,589314,55663250,4119900,8735495,28606,4154605,464410,704939,303982,8792806,94475,46400,5455197,83877,704934,874094274,3959000,2716654,207714294,4412252,4676230,10337910,2369907017,2859058006,489150989,155145812,114793178,334005177,55425,555189792,,2957250,28513866,9917983,204438,2974000,53821850,1875642,1721323,104345000,13036139,11301394,2959900,6996576,51151,44883,32240827,744450,267269864,2688428,2297434,1400730,2133526,104015,285860571,306916896,182760628,21266,12485740,1099849866,2808816765,1028926,1339320329,3139689,339171,2359164,246194,5712,16004731,23484,2445328,6576305,115691,138473064,51493565,20395,2626056137,1720800,5949045,302650,27269069,127335091,512407,1278825,12994,9022741,1146780,826000,4703782,10804131,226431000,817469,112000,4510644,55982144,2406513,13038526,3875763,12074626,6552,2810700,917065338,723851,11029142,58142060,1519285,13459794,35803594,11811,2783121,32664300,239204902,2718000,14410400,8680431,2474763,,1150750,840763997,110495,109514,20250398,130404000,3757358,713711349,5836389,10281700,4257505,2074507,160250,2744891,3673068,19221,3444568,,289646589,3494004,290526189,17073346,74564,367931,4538223,1724891,8042801,431253,,53600,6350541,5841,3643604,1102743566,351017856,2115522,36884536,2930107,2195175,273723955,571565,127335091,84351,713711349,290526189,945360,5063809,34876303,5735,13535481,9405600,47088857,1526206271,2809793,205052000,12080317,90509,11396393,9827,63476,43404793,85377,3682911039,143149,1219000,6193384,22069776,4179067,5289303
1971,59440,11475445,6040777,2187853,25559,125164745,277471,24259561,2587708,27984,64357,12937000,7500482,5284531,3529997,9673162,2976572,5723381,65531633,8536395,220312,173889,3805287,9115576,124793,54600,4581740,97482920,240094,135671,306955,646347,1840518,21962032,99635258,6213399,122413,9942727,841105000,5328744,6689662,20564067,1365899,22003980,234644,271309,1896077,4953087,8868083,147389,9580,620859,9826815,78312842,169372,71568,4963126,4627210,14872250,1147907425,1277799452,1324084715,296984134,743140600,6247418,35311910,288923420,1347176,34224490,1376955,29248643,388391969,227361646,4612124,531635,52371342,39458,62082,600613,55896223,4163000,8973244,29006,4223051,478116,718364,298846,8831036,94221,47200,5589563,85726,713684,883416586,4045300,2798123,213272637,4431275,4757182,10367537,2425732847,2927364515,501631668,159323752,117880144,342307916,56359,567868018,,2992050,29281591,10255850,206098,3069000,54073490,1904276,1809182,105697000,13250213,11713048,3022300,7139647,51980,44490,32882704,798642,274032331,2762265,2354047,1436738,2228146,105247,292906471,314344629,187459560,21728,12747821,1125478859,2877092416,1052614,1370950388,3179041,342421,2376389,248738,5944,16350881,23721,2479871,6757850,119302,142307879,53076373,21313,2689632856,1739521,6044530,302700,27913750,130670746,515449,1317050,13429,9232655,1181674,839230,4829090,11062433,229677632,842354,120000,4637988,57296983,2481341,13194497,3903039,12323982,6678,2853000,928063347,748968,11255183,59734481,1563093,13836367,36849675,12053,2849532,32783500,245537549,2762190,14809521,8643756,2535873,,1176591,849163942,114382,119414,20461567,131155000,3871439,730107637,6100626,10621472,4387540,2112900,166162,2798724,3770059,19389,3472367,,297390143,3575900,298284068,17384861,76347,369236,4557449,1738335,8098334,443977,,54695,6570857,5971,3726189,1133088651,354660476,2185662,37963278,3020413,2258965,280552937,585251,130670746,85499,730107637,298284068,955741,5176295,35720599,5766,13971695,9671860,47435010,1564153997,2818281,207661000,12446443,91491,11745945,10017,70937,44484035,88010,3760509002,145413,1247000,6290365,22665271,4319224,5476982
